timestamp,symbol,funding_rate,mark_price,index_price
2026-01-15 00:00:00.000,BTCUSDT,0.00010000,42000.00,42001.50
2026-01-15 08:00:00.000,BTCUSDT,0.00010349,42007.46,42006.86
2026-01-15 16:00:00.000,BTCUSDT,0.00010696,42014.78,42015.38
2026-01-16 00:00:00.000,BTCUSDT,0.00011040,42021.84,42020.34
2026-01-16 08:00:00.000,BTCUSDT,0.00011378,42028.50,42028.20
2026-01-16 16:00:00.000,BTCUSDT,0.00011710,42034.64,42035.54
2026-01-17 00:00:00.000,BTCUSDT,0.00012034,42040.16,42038.96
2026-01-17 08:00:00.000,BTCUSDT,0.00012347,42044.95,42044.95
2026-01-17 16:00:00.000,BTCUSDT,0.00012650,42048.94,42050.14
2026-01-18 00:00:00.000,BTCUSDT,0.00012939,42052.05,42051.15
2026-01-18 08:00:00.000,BTCUSDT,0.00013214,42054.24,42054.54
2026-01-18 16:00:00.000,BTCUSDT,0.00013473,42055.47,42056.97
2026-01-19 00:00:00.000,BTCUSDT,0.00013716,42055.73,42055.13
2026-01-19 08:00:00.000,BTCUSDT,0.00013940,42055.01,42055.61
2026-01-19 16:00:00.000,BTCUSDT,0.00014145,42053.36,42051.86
2026-01-20 00:00:00.000,BTCUSDT,0.00014330,42050.80,42050.50
2026-01-20 08:00:00.000,BTCUSDT,0.00014494,42047.40,42048.30
2026-01-20 16:00:00.000,BTCUSDT,0.00014636,42043.23,42042.03
2026-01-21 00:00:00.000,BTCUSDT,0.00014755,42038.39,42038.39
2026-01-21 08:00:00.000,BTCUSDT,0.00014851,42032.97,42034.17
2026-01-21 16:00:00.000,BTCUSDT,0.00014924,42027.10,42026.20
2026-01-22 00:00:00.000,BTCUSDT,0.00014973,42020.90,42021.20
2026-01-22 08:00:00.000,BTCUSDT,0.00014997,42014.49,42015.99
2026-01-22 16:00:00.000,BTCUSDT,0.00014997,42008.01,42007.41
2026-01-23 00:00:00.000,BTCUSDT,0.00014973,42001.60,42002.20
2026-01-23 08:00:00.000,BTCUSDT,0.00014924,41995.40,41993.90
2026-01-23 16:00:00.000,BTCUSDT,0.00014851,41989.53,41989.23
2026-01-24 00:00:00.000,BTCUSDT,0.00014755,41984.11,41985.01
2026-01-24 08:00:00.000,BTCUSDT,0.00014636,41979.27,41978.07
2026-01-24 16:00:00.000,BTCUSDT,0.00014494,41975.10,41975.10
2026-01-25 00:00:00.000,BTCUSDT,0.00014330,41971.70,41972.90
2026-01-25 08:00:00.000,BTCUSDT,0.00014145,41969.14,41968.24
2026-01-25 16:00:00.000,BTCUSDT,0.00013940,41967.49,41967.79
2026-01-26 00:00:00.000,BTCUSDT,0.00013716,41966.77,41968.27
2026-01-26 08:00:00.000,BTCUSDT,0.00013473,41967.03,41966.43
2026-01-26 16:00:00.000,BTCUSDT,0.00013214,41968.26,41968.86
2026-01-27 00:00:00.000,BTCUSDT,0.00012939,41970.45,41968.95
2026-01-27 08:00:00.000,BTCUSDT,0.00012650,41973.56,41973.26
2026-01-27 16:00:00.000,BTCUSDT,0.00012347,41977.55,41978.45
2026-01-28 00:00:00.000,BTCUSDT,0.00012034,41982.34,41981.14
2026-01-28 08:00:00.000,BTCUSDT,0.00011710,41987.86,41987.86
2026-01-28 16:00:00.000,BTCUSDT,0.00011378,41994.00,41995.20
2026-01-29 00:00:00.000,BTCUSDT,0.00011040,42000.66,41999.76
2026-01-29 08:00:00.000,BTCUSDT,0.00010696,42007.72,42008.02
2026-01-29 16:00:00.000,BTCUSDT,0.00010349,42015.04,42016.54
2026-01-30 00:00:00.000,BTCUSDT,0.00010000,42022.50,42021.90
2026-01-30 08:00:00.000,BTCUSDT,0.00009651,42029.96,42030.56
2026-01-30 16:00:00.000,BTCUSDT,0.00009304,42037.28,42035.78
2026-01-31 00:00:00.000,BTCUSDT,0.00008960,42044.34,42044.04
2026-01-31 08:00:00.000,BTCUSDT,0.00008622,42051.00,42051.90
2026-01-31 16:00:00.000,BTCUSDT,0.00008290,42057.14,42055.94
2026-02-01 00:00:00.000,BTCUSDT,0.00007966,42062.66,42062.66
2026-02-01 08:00:00.000,BTCUSDT,0.00007653,42067.45,42068.65
2026-02-01 16:00:00.000,BTCUSDT,0.00007350,42071.44,42070.54
2026-02-02 00:00:00.000,BTCUSDT,0.00007061,42074.55,42074.85
2026-02-02 08:00:00.000,BTCUSDT,0.00006786,42076.74,42078.24
2026-02-02 16:00:00.000,BTCUSDT,0.00006527,42077.97,42077.37
2026-02-03 00:00:00.000,BTCUSDT,0.00006284,42078.23,42078.83
2026-02-03 08:00:00.000,BTCUSDT,0.00006060,42077.51,42076.01
2026-02-03 16:00:00.000,BTCUSDT,0.00005855,42075.86,42075.56
2026-02-04 00:00:00.000,BTCUSDT,0.00005670,42073.30,42074.20
2026-02-04 08:00:00.000,BTCUSDT,0.00005506,42069.90,42068.70
2026-02-04 16:00:00.000,BTCUSDT,0.00005364,42065.73,42065.73
2026-02-05 00:00:00.000,BTCUSDT,0.00005245,42060.89,42062.09
2026-02-05 08:00:00.000,BTCUSDT,0.00005149,42055.47,42054.57
2026-02-05 16:00:00.000,BTCUSDT,0.00005076,42049.60,42049.90
2026-02-06 00:00:00.000,BTCUSDT,0.00005027,42043.40,42044.90
2026-02-06 08:00:00.000,BTCUSDT,0.00005003,42036.99,42036.39
