timestamp,symbol,open,high,low,close,volume
2026-01-15 10:00:00.000,BTCUSDT,42149.35,42151.01,42147.44,42147.45,0.5000
2026-01-15 10:00:01.000,BTCUSDT,42150.45,42153.41,42148.39,42152.05,2.8000
2026-01-15 10:00:02.000,BTCUSDT,42150.25,42155.81,42147.79,42151.55,5.1000
2026-01-15 10:00:03.000,BTCUSDT,42151.35,42158.21,42147.19,42151.05,7.4000
2026-01-15 10:00:04.000,BTCUSDT,42151.15,42154.11,42146.59,42150.55,9.7000
2026-01-15 10:00:05.000,BTCUSDT,42152.24,42156.50,42145.98,42150.04,2.0000
2026-01-15 10:00:06.000,BTCUSDT,42152.04,42158.90,42150.88,42154.64,4.3000
2026-01-15 10:00:07.000,BTCUSDT,42153.14,42154.80,42150.28,42154.14,6.6000
2026-01-15 10:00:08.000,BTCUSDT,42152.94,42157.20,42149.68,42153.64,8.9000
2026-01-15 10:00:09.000,BTCUSDT,42154.04,42159.60,42149.08,42153.14,1.2000
2026-01-15 10:00:10.000,BTCUSDT,42153.84,42155.50,42148.48,42152.64,3.5000
2026-01-15 10:00:11.000,BTCUSDT,42154.94,42157.90,42152.13,42152.14,5.8000
2026-01-15 10:00:12.000,BTCUSDT,42154.73,42160.29,42152.77,42156.73,8.1000
2026-01-15 10:00:13.000,BTCUSDT,42154.53,42156.24,42152.17,42156.23,10.4000
2026-01-15 10:00:14.000,BTCUSDT,42155.63,42158.59,42151.57,42155.73,2.7000
2026-01-15 10:00:15.000,BTCUSDT,42155.43,42160.99,42150.97,42155.23,5.0000
2026-01-15 10:00:16.000,BTCUSDT,42156.52,42163.38,42150.36,42154.72,7.3000
2026-01-15 10:00:17.000,BTCUSDT,42156.32,42159.28,42154.21,42154.22,9.6000
2026-01-15 10:00:18.000,BTCUSDT,42157.42,42161.68,42154.66,42158.82,1.9000
2026-01-15 10:00:19.000,BTCUSDT,42157.21,42164.07,42154.05,42158.31,4.2000
2026-01-15 10:00:20.000,BTCUSDT,42158.31,42159.97,42153.45,42157.81,6.5000
2026-01-15 10:00:21.000,BTCUSDT,42158.10,42162.36,42152.84,42157.30,8.8000
2026-01-15 10:00:22.000,BTCUSDT,42159.20,42164.76,42156.79,42156.80,1.1000
2026-01-15 10:00:23.000,BTCUSDT,42158.99,42161.40,42157.13,42161.39,3.4000
2026-01-15 10:00:24.000,BTCUSDT,42160.09,42163.05,42156.53,42160.89,5.7000
2026-01-15 10:00:25.000,BTCUSDT,42159.88,42165.44,42155.92,42160.38,8.0000
2026-01-15 10:00:26.000,BTCUSDT,42159.68,42161.34,42155.32,42159.88,10.3000
2026-01-15 10:00:27.000,BTCUSDT,42160.77,42163.73,42154.71,42159.37,2.6000
2026-01-15 10:00:28.000,BTCUSDT,42160.56,42166.12,42158.85,42158.86,4.9000
2026-01-15 10:00:29.000,BTCUSDT,42161.65,42168.51,42158.99,42163.45,7.2000
2026-01-15 10:00:30.000,BTCUSDT,42161.45,42164.41,42158.39,42162.95,9.5000
2026-01-15 10:00:31.000,BTCUSDT,42162.54,42166.80,42157.78,42162.44,1.8000
2026-01-15 10:00:32.000,BTCUSDT,42162.33,42169.19,42157.17,42161.93,4.1000
2026-01-15 10:00:33.000,BTCUSDT,42163.42,42165.08,42161.41,42161.42,6.4000
2026-01-15 10:00:34.000,BTCUSDT,42163.21,42167.47,42160.90,42160.91,8.7000
2026-01-15 10:00:35.000,BTCUSDT,42164.30,42169.86,42160.84,42165.50,1.0000
2026-01-15 10:00:36.000,BTCUSDT,42164.08,42165.74,42160.22,42164.98,3.3000
2026-01-15 10:00:37.000,BTCUSDT,42165.17,42168.13,42159.61,42164.47,5.6000
2026-01-15 10:00:38.000,BTCUSDT,42164.96,42170.52,42159.00,42163.96,7.9000
2026-01-15 10:00:39.000,BTCUSDT,42164.75,42166.41,42163.44,42163.45,10.2000
2026-01-15 10:00:40.000,BTCUSDT,42165.83,42168.79,42163.27,42168.03,2.5000
